Disciplina;A;B;C;D;F;Nota provável;Conceito provável;Conceito moda
EVOLUÇÃO E DIVERSIFICAÇÃO DA VIDA NA TERRA;31.0;43.1;17.4;4.8;3.6999999999999997;2.9290000000000003;B;B
BASE EXPERIMENTAL DAS CIÊNCIAS NATURAIS;69.6;25.1;3.8;0.4;1.1;3.6170000000000004;A;A
BASES COMPUTACIONAIS DA CIÊNCIA;39.2;26.9;18.3;7.2;8.4;2.813;B;A
ESTRUTURA DA MATÉRIA;17.5;29.5;31.4;10.4;11.3;2.3146853146853146;C;C
BASES MATEMÁTICAS;8.7;15.4;25.9;15.5;34.5;1.483;D;F
BASES CONCEITUAIS DA ENERGIA;25.3;33.7;24.4;7.2;9.3;2.5855855855855854;B;B
GEOMETRIA ANALÍTICA;15.8;17.9;23.7;10.7;31.9;1.75;C;F
FUNÇÕES DE UMA VARIÁVEL;11.7;14.4;22.1;11.9;40.0;1.4595404595404595;D;F
BIODIVERSIDADE: INTERAÇÕES ENTRE ORGANISMOS E AMBIENTE;41.0;34.1;17.0;2.9;5.0;3.032;B;A
TRANSFORMAÇÕES QUÍMICAS;29.9;27.1;22.7;10.8;9.5;2.571;B;A
PROCESSAMENTO DA INFORMAÇÃO;29.2;24.2;20.0;10.2;16.5;2.393606393606393;C;A
FUNÇÕES DE VÁRIAS VARIÁVEIS;15.3;17.6;23.3;11.9;32.0;1.7232767232767232;C;F
FENÔMENOS TÉRMICOS;7.1;19.4;32.1;19.1;22.3;1.699;C;C
INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS;17.1;19.5;25.8;11.9;25.799999999999997;1.902097902097902;C;C
INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA;18.2;21.8;24.0;12.3;23.7;1.985;C;C
FENÔMENOS ELETROMAGNÉTICOS;11.5;17.3;24.5;21.7;25.099999999999998;1.6843156843156843;C;F
COMUNICAÇÃO E REDES;28.8;30.2;20.3;10.1;10.5;2.567567567567568;B;B
ÁLGEBRA LINEAR;21.2;19.2;24.0;10.3;25.3;2.0069999999999997;C;F
BIOQUÍMICA: ESTRUTURA, PROPRIEDADES E FUNÇÕES DE BIOMOLÉCULAS;29.1;34.1;20.6;7.4;8.7;2.6756756756756754;B;B
CÁLCULO NUMÉRICO;23.2;24.1;24.3;10.5;17.9;2.242;C;C
FÍSICA QUÂNTICA;12.3;23.7;26.8;12.6;24.6;1.865;C;C
BASES EPISTEMOLÓGICAS DA CIÊNCIA MODERNA;32.1;30.1;19.7;8.2;9.9;2.663;B;A
CÁLCULO VETORIAL E TENSORIAL;21.4;17.6;20.0;9.9;31.1;1.883;C;F
MATERIAIS E SUAS PROPRIEDADES;18.4;24.8;23.2;18.2;15.4;2.1259999999999994;C;B
INTERAÇÕES ATÔMICAS E MOLECULARES;19.4;21.7;29.8;10.1;18.9;2.126126126126126;C;C
FUNDAMENTOS DE DESENHO TÉCNICO;37.2;29.3;17.5;7.6;8.5;2.790209790209791;B;A
SISTEMAS CAD/CAM;18.6;33.4;28.3;9.5;10.1;2.4094094094094096;B;B
PROJETO ASSISTIDO POR COMPUTADOR;51.6;27.3;9.4;1.5;10.2;3.086;B;A
PRINCÍPIOS DE ADMINISTRAÇÃO;42.0;33.0;16.8;3.7;4.5;3.043;B;A
INTRODUÇÃO ÀS ENGENHARIAS;59.2;29.8;7.0;1.0;2.9;3.4154154154154157;A;A
ESTRUTURA E DINÂMICA SOCIAL;38.3;35.3;17.1;4.6;4.7;2.979;B;A
MECÂNICA DOS SÓLIDOS I;21.1;19.0;21.1;14.5;24.2;1.982982982982983;C;F
PROGRAMAÇÃO ESTRUTURADA;30.5;18.4;15.4;11.6;24.200000000000003;2.1938061938061937;C;A
NATUREZA DA INFORMAÇÃO;29.3;25.0;22.5;11.2;12.0;2.484;B;A
MODELAGEM E CONTROLE;27.4;19.2;16.3;10.1;27.0;2.099;C;A
CIRCUITOS ELÉTRICOS I;14.5;23.4;23.2;9.4;29.4;1.8418418418418416;C;F
CIÊNCIA, TECNOLOGIA E SOCIEDADE;43.5;31.2;15.0;4.6;5.7;3.0220000000000002;B;A
TRANSFORMADAS EM SINAIS E SISTEMAS LINEARES;13.6;19.2;25.0;11.3;30.9;1.733;C;F
PROJETO DIRIGIDO;58.3;20.9;8.3;1.9;10.6;3.144;B;A
ENGENHARIA ECONÔMICA;21.2;17.6;23.5;17.6;20.1;2.022;C;C
CIRCUITOS DIGITAIS;46.4;21.4;14.6;7.4;10.2;2.864;B;A
LÓGICA BÁSICA;37.1;14.9;15.2;9.2;23.599999999999998;2.327;C;A
INTELIGÊNCIA ARTIFICIAL;20.9;21.5;17.7;12.6;27.3;1.9610000000000003;C;F
DISPOSITIVOS ELETRÔNICOS;17.4;23.9;22.0;15.9;20.799999999999997;2.012;C;B
SISTEMAS DE CONTROLE I;27.8;22.2;22.0;10.3;17.6;2.3233233233233235;C;A
PROGRAMAÇÃO ORIENTADA A OBJETOS;26.8;21.2;21.8;11.9;18.4;2.260739260739261;C;A
PROCESSAMENTO DIGITAL DE SINAIS;37.4;22.1;18.6;7.2;14.700000000000001;2.603;B;A
ELETROMAGNETISMO APLICADO;26.5;29.1;26.3;6.7;11.3;2.528528528528528;B;B
SENSORES E TRANSDUTORES;15.4;29.1;32.1;11.2;12.2;2.2430000000000003;C;C
ENGENHARIA UNIFICADA I;63.9;26.1;6.0;0.6;3.3;3.4684684684684686;A;A
CIRCUITOS ELÉTRICOS II;14.7;21.9;26.7;13.7;23.1;1.9140859140859139;C;C
FUNDAMENTOS DE ROBÓTICA;33.7;27.9;12.1;7.2;19.2;2.4965034965034962;B;A
INTRODUÇÃO AOS PROCESSOS DE FABRICAÇÃO;16.6;25.4;30.6;23.2;4.1;2.2722722722722724;C;C
ELETRÔNICA ANALÓGICA APLICADA;24.4;21.5;22.2;14.7;17.2;2.2119999999999997;C;A
CIRCUITOS ELÉTRICOS E FOTÔNICA;17.2;32.6;28.3;7.6;14.3;2.3080000000000003;C;B
ENGENHARIA UNIFICADA II;65.6;24.0;6.7;0.3;3.4000000000000004;3.481;A;A
ELETRÔNICA DIGITAL;17.5;22.0;20.5;17.8;22.2;1.9480000000000002;C;F
INTRODUÇÃO AO CONTROLE DISCRETO;16.2;22.3;33.3;9.8;18.3;2.0830830830830833;C;C
MÉTODOS EXPERIMENTAIS EM ENGENHARIA;25.4;44.1;20.1;3.3;7.0;2.7767767767767775;B;B
PROJETO DE FILTROS DIGITAIS;36.8;30.9;22.1;0.0;10.3;2.8381618381618385;B;A
ESTÁGIO CURRICULAR EM ENGENHARIA DE INSTRUMENTAÇÃO, AUTOMAÇÃO E ROBÓTICA;93.3;6.7;0.0;0.0;0.0;3.9330000000000003;A;A
MÁQUINAS ELÉTRICAS;7.0;23.5;27.7;13.5;28.3;1.6740000000000002;C;F
INSTRUMENTAÇÃO E CONTROLE;11.2;23.6;29.3;15.4;20.6;1.8941058941058944;C;C
CONFIABILIDADE DE COMPONENTES E SISTEMAS;23.3;15.5;12.8;14.6;33.8;1.799;C;F
ANÁLISE DE SISITEMAS DINÂMICOS LINEARES;23.9;25.0;23.9;6.8;20.4;2.252;C;B
INTRODUÇÃO AO CONTROLE MODERNO;64.8;18.2;9.4;2.5;5.0;3.3543543543543537;A;A
TRABALHO DE GRADUAÇÃO I EM ENGENHARIA DE INSTRUMENTAÇÃO, AUTOMAÇÃO E ROBÓTICA;75.0;12.5;8.3;0.0;4.2;3.5410000000000004;A;A
SISTEMAS MICROPROCESSADOS;36.1;26.7;15.0;9.7;12.5;2.642;B;A
TRABALHO DE GRADUAÇÃO II EM ENGENHARIA DE INSTRUMENTAÇÃO, AUTOMAÇÃO E ROBÓTICA;62.5;16.7;4.2;0.0;16.7;3.0819180819180816;B;A
MECÂNICA DOS FLUIDOS I;5.9;14.0;26.3;13.4;40.4;1.3159999999999998;D;F
LABORATÓRIO DE MÁQUINAS ELÉTRICAS;37.8;29.3;18.7;5.0;9.1;2.817817817817818;B;A
AUTOMAÇÃO DE SISTEMAS INDUSTRIAIS;33.7;41.3;17.3;3.1;4.6;2.964000000000001;B;B
TRABALHO DE GRADUAÇÃO III EM ENGENHARIA DE INSTRUMENTAÇÃO, AUTOMAÇÃO E ROBÓTICA;60.0;26.7;0.0;0.0;13.3;3.201;A;A
TEORIA DE ACIONAMENTOS ELÉTRICOS;25.4;29.4;22.7;10.2;12.4;2.451548451548451;B;B
SISTEMAS DE CONTROLE II;12.1;21.4;24.3;15.5;26.7;1.767;C;F
FENÔMENOS MECÂNICOS;9.3;18.35;28.3;20.4;23.7;2.125;C;C
FOTÔNICA;25.1;29.0;27.9;9.5;8.6;2.048;C;B
INSTRUMENTAÇÃO E METROLOGIA ÓPTICA;31.9;25.9;30.4;4.4;7.4;1.925;C;A
