Ano;Código;Disciplina;Resultado;Situação
2024.1;CIN0068;APLICAÇÕES DE APRENDIZAGEM DE MÁQUINA;9,9;APROVADO
2024.1;CIN0066;APRENDIZAGEM DE MÁQUINA I;10,0;APROVADO
2024.1;CIN0067;APRENDIZAGEM DE MÁQUINA II;10,0;APROVADO
2024.1;CIN0069;ARQUITETURA BIG DATA E ANALYTICS;10,0;APROVADO
2024.1;CIN0061;ARQUITETURA DE SOFTWARE;10,0;APROVADO
2024.1;CIN0065;ESTATÍSTICA AVANÇADA;9,5;APROVADO
2024.1;CIN0071;FAMILIARIZAÇÃO AERONÁUTICA;10,0;APROVADO
2024.1;CIN0064;INTRODUÇÃO A CIÊNCIA DE DADOS;9,5;APROVADO
2024.1;CIN0070;PROJETO DE CIÊNCIA DE DADOS;10,0;APROVADO
2024.1;CIN0062;QUALIDADE DE SOFTWARE;10,0;APROVADO
2024.1;CIN0060;REQUISITOS DE SOFTWARE;9,5;APROVADO
2024.1;CIN0063;TÓPICOS AVANÇADOS;9,8;APROVADO
2024.1;LAT0001;TRABALHO FINAL DE CURSO;10,0;APROVADO
